round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
20,16,870217,1,42200282,0.0006759557019385474,1700,1699,1,0,8.918413200999566,6.7225871086120605,0.09949073544525272,0.8865376922086522
20,17,5890990,0,42200283,0.0006759557019385474,11506,11500,6,0,64.32677259600041,6.948785305023193,0.055912252674932064,0.5610520550271739
20,18,1063458,1,42200284,0.0006759557019385474,2078,2077,1,0,11.619016493000345,6.731289863586426,0.09220486578025322,0.6807785511705585
20,19,1173148,0,42200285,0.0006759557019385474,2292,2291,1,0,12.825586049000776,6.736230373382568,0.08499613728183994,0.7107352927385694
21,0,3352748,1,42210273,0.000645841155382361,6549,6546,3,0,36.05199262899987,6.83604621887207,0.09712954438719733,0.845089304895165
21,1,1783872,1,42210274,0.000645841155382361,3485,3483,2,0,19.43146876799983,6.763737678527832,0.0708680811402033,0.6501613444991745
21,2,2652819,1,42210275,0.000645841155382361,5182,5179,3,0,28.42418791899945,6.8028788566589355,0.05336921604979243,0.6000128033585151
21,3,1455566,1,42210276,0.000645841155382361,2843,2841,2,0,15.555695239999295,6.748951435089111,0.11263166922408482,0.9245718902620116
21,4,1864534,1,42210277,0.000645841155382361,3642,3640,2,0,20.113042812999993,6.7673726081848145,0.14692557198660713,1.110072477571257
21,5,1932238,0,42210278,0.000645841155382361,3774,3771,3,0,20.8962730810008,6.770422458648682,0.09954030379095813,0.9657908550657982
21,6,3372587,1,42210279,0.000645841155382361,6588,6584,4,0,36.49916670199946,6.836348533630371,0.08136056781829056,0.7782790043808855
21,7,1472203,0,42210280,0.000645841155382361,2876,2874,2,0,15.7527298039995,6.749701023101807,0.17518032766831942,1.1794313817034185
21,8,2845626,1,42210281,0.000645841155382361,5558,5555,3,0,30.65075599299962,6.811844348907471,0.0896620728967428,0.809672539519577
21,9,1240841,0,42210282,0.000645841155382361,2424,2422,2,0,13.382762264000121,6.739888668060303,0.09613617346564371,0.8951221469214492
21,10,2671366,0,42210283,0.000645841155382361,5218,5216,2,0,28.752771319000203,6.803714275360107,0.1214254414377037,0.9148788920209452
21,11,1851046,0,42210284,0.000645841155382361,3616,3614,2,0,20.135562585000116,6.7667646408081055,0.07442651272611718,0.7076966581782651
21,12,1495960,1,42210285,0.000645841155382361,2922,2920,2,0,16.110924870999952,6.7507710456848145,0.11817633223860231,1.0937159708101456
21,13,1779645,0,42210286,0.000645841155382361,3476,3474,2,0,19.145413293000274,6.763546943664551,0.0881048541818464,0.7178376702378382
